Date_id;Annee;Mois;Jour;Mois_nom;Jour_semaine;Trimestre;Date_form
43831;2020;1;1;janvier;4;Q1;2020-01-01
43832;2020;1;2;janvier;5;Q1;2020-01-02
43833;2020;1;3;janvier;6;Q1;2020-01-03
43834;2020;1;4;janvier;7;Q1;2020-01-04
43835;2020;1;5;janvier;1;Q1;2020-01-05
43836;2020;1;6;janvier;2;Q1;2020-01-06
43837;2020;1;7;janvier;3;Q1;2020-01-07
43838;2020;1;8;janvier;4;Q1;2020-01-08
43839;2020;1;9;janvier;5;Q1;2020-01-09
43840;2020;1;10;janvier;6;Q1;2020-01-10
43841;2020;1;11;janvier;7;Q1;2020-01-11
43842;2020;1;12;janvier;1;Q1;2020-01-12
43843;2020;1;13;janvier;2;Q1;2020-01-13
43844;2020;1;14;janvier;3;Q1;2020-01-14
43845;2020;1;15;janvier;4;Q1;2020-01-15
43846;2020;1;16;janvier;5;Q1;2020-01-16
43847;2020;1;17;janvier;6;Q1;2020-01-17
43848;2020;1;18;janvier;7;Q1;2020-01-18
43849;2020;1;19;janvier;1;Q1;2020-01-19
43850;2020;1;20;janvier;2;Q1;2020-01-20
43851;2020;1;21;janvier;3;Q1;2020-01-21
43852;2020;1;22;janvier;4;Q1;2020-01-22
43853;2020;1;23;janvier;5;Q1;2020-01-23
43854;2020;1;24;janvier;6;Q1;2020-01-24
43855;2020;1;25;janvier;7;Q1;2020-01-25
43856;2020;1;26;janvier;1;Q1;2020-01-26
43857;2020;1;27;janvier;2;Q1;2020-01-27
43858;2020;1;28;janvier;3;Q1;2020-01-28
43859;2020;1;29;janvier;4;Q1;2020-01-29
43860;2020;1;30;janvier;5;Q1;2020-01-30
43861;2020;1;31;janvier;6;Q1;2020-01-31
43862;2020;2;1;février;7;Q1;2020-02-01
43863;2020;2;2;février;1;Q1;2020-02-02
43864;2020;2;3;février;2;Q1;2020-02-03
43865;2020;2;4;février;3;Q1;2020-02-04
43866;2020;2;5;février;4;Q1;2020-02-05
43867;2020;2;6;février;5;Q1;2020-02-06
43868;2020;2;7;février;6;Q1;2020-02-07
43869;2020;2;8;février;7;Q1;2020-02-08
43870;2020;2;9;février;1;Q1;2020-02-09
43871;2020;2;10;février;2;Q1;2020-02-10
43872;2020;2;11;février;3;Q1;2020-02-11
43873;2020;2;12;février;4;Q1;2020-02-12
43874;2020;2;13;février;5;Q1;2020-02-13
43875;2020;2;14;février;6;Q1;2020-02-14
43876;2020;2;15;février;7;Q1;2020-02-15
43877;2020;2;16;février;1;Q1;2020-02-16
43878;2020;2;17;février;2;Q1;2020-02-17
43879;2020;2;18;février;3;Q1;2020-02-18
43880;2020;2;19;février;4;Q1;2020-02-19
43881;2020;2;20;février;5;Q1;2020-02-20
43882;2020;2;21;février;6;Q1;2020-02-21
43883;2020;2;22;février;7;Q1;2020-02-22
43884;2020;2;23;février;1;Q1;2020-02-23
43885;2020;2;24;février;2;Q1;2020-02-24
43886;2020;2;25;février;3;Q1;2020-02-25
43887;2020;2;26;février;4;Q1;2020-02-26
43888;2020;2;27;février;5;Q1;2020-02-27
43889;2020;2;28;février;6;Q1;2020-02-28
43890;2020;2;29;février;7;Q1;2020-02-29
43891;2020;3;1;mars;1;Q1;2020-03-01
43892;2020;3;2;mars;2;Q1;2020-03-02
43893;2020;3;3;mars;3;Q1;2020-03-03
43894;2020;3;4;mars;4;Q1;2020-03-04
43895;2020;3;5;mars;5;Q1;2020-03-05
43896;2020;3;6;mars;6;Q1;2020-03-06
43897;2020;3;7;mars;7;Q1;2020-03-07
43898;2020;3;8;mars;1;Q1;2020-03-08
43899;2020;3;9;mars;2;Q1;2020-03-09
43900;2020;3;10;mars;3;Q1;2020-03-10
43901;2020;3;11;mars;4;Q1;2020-03-11
43902;2020;3;12;mars;5;Q1;2020-03-12
43903;2020;3;13;mars;6;Q1;2020-03-13
43904;2020;3;14;mars;7;Q1;2020-03-14
43905;2020;3;15;mars;1;Q1;2020-03-15
43906;2020;3;16;mars;2;Q1;2020-03-16
43907;2020;3;17;mars;3;Q1;2020-03-17
43908;2020;3;18;mars;4;Q1;2020-03-18
43909;2020;3;19;mars;5;Q1;2020-03-19
43910;2020;3;20;mars;6;Q1;2020-03-20
43911;2020;3;21;mars;7;Q1;2020-03-21
43912;2020;3;22;mars;1;Q1;2020-03-22
43913;2020;3;23;mars;2;Q1;2020-03-23
43914;2020;3;24;mars;3;Q1;2020-03-24
43915;2020;3;25;mars;4;Q1;2020-03-25
43916;2020;3;26;mars;5;Q1;2020-03-26
43917;2020;3;27;mars;6;Q1;2020-03-27
43918;2020;3;28;mars;7;Q1;2020-03-28
43919;2020;3;29;mars;1;Q1;2020-03-29
43920;2020;3;30;mars;2;Q1;2020-03-30
43921;2020;3;31;mars;3;Q1;2020-03-31
43922;2020;4;1;avril;4;Q2;2020-04-01
43923;2020;4;2;avril;5;Q2;2020-04-02
43924;2020;4;3;avril;6;Q2;2020-04-03
43925;2020;4;4;avril;7;Q2;2020-04-04
43926;2020;4;5;avril;1;Q2;2020-04-05
43927;2020;4;6;avril;2;Q2;2020-04-06
43928;2020;4;7;avril;3;Q2;2020-04-07
43929;2020;4;8;avril;4;Q2;2020-04-08
43930;2020;4;9;avril;5;Q2;2020-04-09
43931;2020;4;10;avril;6;Q2;2020-04-10
43932;2020;4;11;avril;7;Q2;2020-04-11
43933;2020;4;12;avril;1;Q2;2020-04-12
43934;2020;4;13;avril;2;Q2;2020-04-13
43935;2020;4;14;avril;3;Q2;2020-04-14
43936;2020;4;15;avril;4;Q2;2020-04-15
43937;2020;4;16;avril;5;Q2;2020-04-16
43938;2020;4;17;avril;6;Q2;2020-04-17
43939;2020;4;18;avril;7;Q2;2020-04-18
43940;2020;4;19;avril;1;Q2;2020-04-19
43941;2020;4;20;avril;2;Q2;2020-04-20
43942;2020;4;21;avril;3;Q2;2020-04-21
43943;2020;4;22;avril;4;Q2;2020-04-22
43944;2020;4;23;avril;5;Q2;2020-04-23
43945;2020;4;24;avril;6;Q2;2020-04-24
